codecli;societe;contact;fonction;adresse;ville;region;codepostal;pays;tel;fax
ALFKI;Alfreds Futterkiste;Maria Anders;ReprÇsentant(e);Obere Str. 57;Berlin;unknown_value_please_contact_support;12209;Allemagne;030-0074321;030-0076545
ANATR;Ana Trujillo Emparedados y helados;Ana Trujillo;PropriÇtaire;Avda. de la Constituci¢n 2222;MÇxico D.F.;unknown_value_please_contact_support;5021;Mexique;(5) 555-4729;(5) 555-3745
ANTON;Antonio Moreno Taquer°a;Antonio Moreno;PropriÇtaire;Mataderos  2312;MÇxico D.F.;unknown_value_please_contact_support;5023;Mexique;(5) 555-3932;unknown_value_please_contact_support
AROUT;Around the Horn;Thomas Hardy;ReprÇsentant(e);120 Hanover Sq.;London;unknown_value_please_contact_support;WA1 1DP;Royaume-Uni;(71) 555-7788;(71) 555-6750
BERGS;Berglunds snabbkîp;Christina Berglund;Acheteur;BerguvsvÑgen  8;LuleÜ;unknown_value_please_contact_support;S-958 22;Suäde;0921-12 34 65;0921-12 34 67
BLAUS;Blauer See Delikatessen;Hanna Moos;ReprÇsentant(e);Forsterstr. 57;Mannheim;unknown_value_please_contact_support;68306;Allemagne;0621-08460;0621-08924
BLONP;Blondel päre et fils;FrÇdÇrique Citeaux;Directeur du marketing;24, place KlÇber;Strasbourg;unknown_value_please_contact_support;67000;France;88.60.15.31;88.60.15.32
BOLID;B¢lido Comidas preparadas;Mart°n Sommer;PropriÇtaire;C/ Araquil, 67;Madrid;unknown_value_please_contact_support;28023;Espagne;(91) 555 22 82;(91) 555 91 99
BONAP;Bon app;Laurence Lebihan;PropriÇtaire;12, rue des Bouchers;Marseille;unknown_value_please_contact_support;13008;France;91.24.45.40;91.24.45.41
BOTTM;Bottom-Dollar Markets;Elizabeth Lincoln;Chef comptable;23 Tsawassen Blvd.;Tsawassen;BC;T2F 8M4;Canada;(604) 555-4729;(604) 555-3745
BSBEV;Bs Beverages;Victoria Ashworth;ReprÇsentant(e);Fauntleroy Circus;London;unknown_value_please_contact_support;EC2 5NT;Royaume-Uni;(71) 555-1212;unknown_value_please_contact_support
CACTU;Cactus Comidas para llevar;Patricio Simpson;Assistant(e) des ventes;Cerrito 333;Buenos Aires;unknown_value_please_contact_support;1010;Argentine;(1) 135-5555;(1) 135-4892
CENTC;Centro comercial Moctezuma;Francisco Chang;Directeur du marketing;Sierras de Granada 9993;MÇxico D.F.;unknown_value_please_contact_support;5022;Mexique;(5) 555-3392;(5) 555-7293
CHOPS;Chop-suey Chinese;Yang Wang;PropriÇtaire;Hauptstr. 29;Bern;unknown_value_please_contact_support;3012;Suisse;0452-076545;unknown_value_please_contact_support
COMMI;ComÇrcio Mineiro;Pedro Afonso;Assistant(e) des ventes;Av. dos Lus°adas, 23;S∆o Paulo;SP;05432-043;BrÇsil;(11) 555-7647;unknown_value_please_contact_support
CONSH;Consolidated Holdings;Elizabeth Brown;ReprÇsentant(e);Berkeley Gardens  12  Brewery;London;unknown_value_please_contact_support;WX1 6LT;Royaume-Uni;(71) 555-2282;(71) 555-9199
DRACD;Drachenblut Delikatessen;Sven Ottlieb;Acheteur;Walserweg 21;Aachen;unknown_value_please_contact_support;52066;Allemagne;0241-039123;0241-059428
DUMON;Du monde entier;Janine Labrune;PropriÇtaire;67, rue des Cinquante Otages;Nantes;unknown_value_please_contact_support;44000;France;40.67.88.88;40.67.89.89
EASTC;Eastern Connection;Ann Devon;Assistant(e) des ventes;35 King George;London;unknown_value_please_contact_support;WX3 6FW;Royaume-Uni;(71) 555-0297;(71) 555-3373
ERNSH;Ernst Handel;Roland Mendel;Chef des ventes;Kirchgasse 6;Graz;unknown_value_please_contact_support;8010;Autriche;7675-3425;7675-3426
ESPAC;Lespace;Michel Roudil;PropriÇtaire;18, Route de Douvres;Courseulles;unknown_value_please_contact_support;14470;France;31.22.32.84;31.22.32.86
ETOUR;Etourdi;Sylvie Chalet;Assistant(e) marketing;47 Quai Hamelin;Caen;unknown_value_please_contact_support;14000;France;31.92.85.65;unknown_value_please_contact_support
FAMIA;Familia Arquibaldo;Aria Cruz;Assistant(e) marketing;Rua Or¢s, 92;S∆o Paulo;SP;05442-030;BrÇsil;(11) 555-9857;unknown_value_please_contact_support
FISSA;FISSA Fabrica Inter. Salchichas S.A.;Diego Roel;Chef comptable;C/ Moralzarzal, 86;Madrid;unknown_value_please_contact_support;28034;Espagne;(91) 555 94 44;(91) 555 55 93
FOLIG;Folies gourmandes;Martine RancÇ;ReprÇsentant(e);184, chaussÇe de Tournai;Lille;unknown_value_please_contact_support;59000;France;20.16.10.16;20.16.10.17
FOLKO;Folk och fÑ HB;Maria Larsson;PropriÇtaire;èkergatan 24;BrÑcke;unknown_value_please_contact_support;S-844 67;Suäde;0695-34 67 21;unknown_value_please_contact_support
FRANK;Frankenversand;Peter Franken;Directeur du marketing;Berliner Platz 43;MÅnchen;unknown_value_please_contact_support;80805;Allemagne;089-0877310;089-0877451
FRANR;France restauration;Carine Schmitt;Directeur du marketing;54, rue Royale;Nantes;unknown_value_please_contact_support;44000;France;40.32.21.21;40.32.21.20
FRANS;Franchi S.p.A.;Paolo Accorti;ReprÇsentant(e);Via Monte Bianco 34;Torino;unknown_value_please_contact_support;10100;Italie;011-4988260;011-4988261
FURIB;Furia Bacalhau e Frutos do Mar;Lino Rodriguez;Chef des ventes;Jardim das rosas n. 32;Lisboa;unknown_value_please_contact_support;1675;Portugal;(1) 354-2534;(1) 354-2535
GALED;Galer°a del gastr¢nomo;Eduardo Saavedra;Directeur du marketing;Rambla de Catalu§a, 23;Barcelona;unknown_value_please_contact_support;8022;Espagne;(93) 203 4560;(93) 203 4561
GODOS;Godos Cocina T°pica;JosÇ Pedro Freyre;Chef des ventes;C/ Romero, 33;Sevilla;unknown_value_please_contact_support;41101;Espagne;(95) 555 82 82;unknown_value_please_contact_support
GOURL;Gourmet Lanchonetes;AndrÇ Fonseca;Assistant(e) des ventes;Av. Brasil, 442;Campinas;SP;04876-786;BrÇsil;(11) 555-9482;unknown_value_please_contact_support
GREAL;Great Lakes Food Market;Howard Snyder;Directeur du marketing;2732 Baker Blvd.;Eugene;OR;97403;Etats-Unis;(503) 555-7555;unknown_value_please_contact_support
GROSR;GROSELLA-Restaurante;Manuel Pereira;PropriÇtaire;5¶ Ave. Los Palos Grandes;Caracas;DF;1081;Venezuela;(2) 283-2951;(2) 283-3397
HANAR;Hanari Carnes;Mario Pontes;Chef comptable;Rua do Paáo, 67;Rio de Janeiro;RJ;05454-876;BrÇsil;(21) 555-0091;(21) 555-8765
HILAA;HILARI‡N-Abastos;Carlos Hern†ndez;ReprÇsentant(e);Carrera 22 con Ave. Carlos Soublette #8-35;San Crist¢bal;T†chira;5022;Venezuela;(5) 555-1340;(5) 555-1948
HUNGC;Hungry Coyote Import Store;Yoshi Latimer;ReprÇsentant(e);City Center Plaza  516 Main St.;Elgin;OR;97827;Etats-Unis;(503) 555-6874;(503) 555-2376
HUNGO;Hungry Owl All-Night Grocers;Patricia McKenna;Assistant(e) des ventes;8 Johnstown Road;Cork;Co. Cork;unknown_value_please_contact_support;Irlande;2967 542;2967 3333
ISLAT;Island Trading;JÇrìme Firenze;Directeur du marketing;Garden House  Crowther Way;Cowes;Isle of Wight;PO31 7PJ;Royaume-Uni;(198) 555-8888;unknown_value_please_contact_support
KOENE;Kîniglich Essen;Philip Cramer;Assistant(e) des ventes;Maubelstr. 90;Brandenburg;unknown_value_please_contact_support;14776;Allemagne;0555-09876;unknown_value_please_contact_support
LACOR;La corne dabondance;Daniel Tonini;ReprÇsentant(e);67, avenue de lEurope;Versailles;unknown_value_please_contact_support;78000;France;30.59.84.10;30.59.85.11
LAMAI;La maison dAsie;Annette Roulet;Chef des ventes;1 rue Alsace-Lorraine;Toulouse;unknown_value_please_contact_support;31000;France;61.77.61.10;61.77.61.11
LAUGB;Laughing Bacchus Wine Cellars;Yoshi Tannamuri;Assistant(e) marketing;1900 Oak St.;Vancouver;BC;V3F 2K1;Canada;(604) 555-3392;(604) 555-7293
LAZYK;Lazy K Kountry Store;John Steel;Directeur du marketing;12 Orchestra Terrace;Walla Walla;WA;99362;Etats-Unis;(509) 555-7969;(509) 555-6221
LEHMS;Lehmanns Marktstand;Renate Messner;ReprÇsentant(e);Magazinweg 7;Frankfurt a.M.;unknown_value_please_contact_support;60528;Allemagne;069-0245984;069-0245874
LETSS;Lets Stop N Shop;Jaime Yorres;PropriÇtaire;87 Polk St.  Suite 5;San Francisco;CA;94117;Etats-Unis;(415) 555-5938;unknown_value_please_contact_support
LILAS;LILA-Supermercado;Carlos Gonz†lez;Chef comptable;Carrera 52 con Ave. Bol°var #65-98 Llano Largo;Barquisimeto;Lara;3508;Venezuela;(9) 331-6954;(9) 331-7256
LINOD;LINO-Delicateses;Felipe Izquierdo;PropriÇtaire;Ave. 5 de Mayo Porlamar;I. de Margarita;Nueva Esparta;4980;Venezuela;(8) 34-56-12;(8) 34-93-93
LONEP;Lonesome Pine Restaurant;Fran Wilson;Chef des ventes;89 Chiaroscuro Rd.;Portland;OR;97219;Etats-Unis;(503) 555-9573;(503) 555-9646
MAGAA;Magazzini Alimentari Riuniti;Giovanni Rovelli;Directeur du marketing;Via Ludovico il Moro 22;Bergamo;unknown_value_please_contact_support;24100;Italie;035-640230;035-640231
MAISD;Maison Dewey;Catherine Dewey;Assistant(e) des ventes;Rue Joseph-Bens 532;Bruxelles;unknown_value_please_contact_support;B-1180;Belgique;(02) 201 24 67;(02) 201 24 68
MEREP;Märe Paillarde;Jean Fresniäre;Assistant(e) marketing;43 rue St. Laurent;MontrÇal;QuÇbec;H1J 1C3;Canada;(514) 555-8054;(514) 555-8055
MORGK;Morgenstern Gesundkost;Alexander Feuer;Assistant(e) marketing;Heerstr. 22;Leipzig;unknown_value_please_contact_support;4179;Allemagne;0342-023176;unknown_value_please_contact_support
NORTS;North/South;Simon Crowther;Assistant(e) des ventes;South House  300 Queensbridge;London;unknown_value_please_contact_support;SW7 1RZ;Royaume-Uni;(71) 555-7733;(71) 555-2530
OCEAN;OcÇano Atl†ntico Ltda.;Yvonne Moncada;Assistant(e) des ventes;Ing. Gustavo Moncada 8585  Piso 20-A;Buenos Aires;unknown_value_please_contact_support;1010;Argentine;(1) 135-5333;(1) 135-5535
OLDWO;Old World Delicatessen;Rene Phillips;ReprÇsentant(e);2743 Bering St.;Anchorage;AK;99508;Etats-Unis;(907) 555-7584;(907) 555-2880
OTTIK;Ottilies KÑseladen;Henriette Pfalzheim;PropriÇtaire;Mehrheimerstr. 369;Kîln;unknown_value_please_contact_support;50739;Allemagne;0221-0644327;0221-0765721
PARIS;Paris spÇcialitÇs;Marie Bertrand;PropriÇtaire;265, boulevard Charonne;Paris;unknown_value_please_contact_support;75012;France;(1) 42.34.22.66;(1) 42.34.22.77
PERIC;Pericles Comidas cl†sicas;Guillermo Fern†ndez;ReprÇsentant(e);Calle Dr. Jorge Cash 321;MÇxico D.F.;unknown_value_please_contact_support;5033;Mexique;(5) 552-3745;(5) 545-3745
PICCO;Piccolo und mehr;Georg Pipps;Chef des ventes;Geislweg 14;Salzburg;unknown_value_please_contact_support;5020;Autriche;6562-9722;6562-9723
PILOF;Pilote et Fils;Cyril Caroline;PropriÇtaire;875b  rue Rachel Est;MontrÇal;QuÇbec;H2J4K6;Canada;(514) 554-8123;unknown_value_please_contact_support
PRINI;Princesa Isabel Vinhos;Isabel de Castro;ReprÇsentant(e);Estrada da sa£de n. 58;Lisboa;unknown_value_please_contact_support;1756;Portugal;(1) 356-5634;unknown_value_please_contact_support
QUEDE;Que Del°cia;Bernardo Batista;Chef comptable;Rua da Panificadora, 12;Rio de Janeiro;RJ;02389-673;BrÇsil;(21) 555-4252;(21) 555-4545
QUEEN;Queen Cozinha;L£cia Carvalho;Assistant(e) marketing;Alameda dos CanÖrios, 891;S∆o Paulo;SP;05487-020;BrÇsil;(11) 555-1189;unknown_value_please_contact_support
QUICK;QUICK-Stop;Horst Kloss;Chef comptable;Taucherstra·e 10;Cunewalde;unknown_value_please_contact_support;1307;Allemagne;0372-035188;unknown_value_please_contact_support
