nofour;societe;contact;fonction;adresse;ville;region;codepostal;pays;tel;fax;pageaccueil
1;Exotic Liquids;Charlotte Cooper;Assistant export;49 Gilbert St.;London;unknown_value_please_contact_support;EC1 4SD;Royaume-Uni;(171) 555-2222;unknown_value_please_contact_support;unknown_value_please_contact_support
2;New Orleans Cajun Delights;Shelley Burke;Acheteur;P.O. Box 78934;New Orleans;LA;70117;Etats-Unis;(100) 555-4822;unknown_value_please_contact_support;Cajun.htm#CAJUN.HTM#
3;Grandma Kellys Homestead;Regina Murphy;ReprÇsentant(e);707 Oxford Rd.;Ann Arbor;MI;48104;Etats-Unis;(313) 555-5735;(313) 555-3349;unknown_value_please_contact_support
4;Tokyo Traders;Yoshi Nagase;Directeur du marketing;9-8 Sekimai  Musashino-shi;Tokyo;unknown_value_please_contact_support;100;Japon;(03) 3555-5011;unknown_value_please_contact_support;unknown_value_please_contact_support
5;Cooperativa de Quesos Las Cabras;Antonio del Valle Saavedra;Responsable export;Calle del Rosal 4;Oviedo;Asturias;33007;Espagne;(98) 598 76 54;unknown_value_please_contact_support;unknown_value_please_contact_support
6;Mayumis;Mayumi Ohno;Chef de produit;92 Setsuko  Chuo-ku;Osaka;unknown_value_please_contact_support;545;Japon;(06) 431-7877;unknown_value_please_contact_support;Mayumis (sur le World Wide Web)#http://www.microsoft.com/accessdev/sampleapps/mayumi.htm#
7;Pavlova, Ltd.;Ian Devling;Directeur du marketing;74 Rose St.  Moonie Ponds;Melbourne;Victoria;3058;Australie;(059) 55-5450;(03) 444-6588;unknown_value_please_contact_support
8;Specialty Biscuits, Ltd.;Peter Wilson;ReprÇsentant(e);29 Kings Way;Manchester;unknown_value_please_contact_support;M14 GSD;Royaume-Uni;(161) 555-4448;unknown_value_please_contact_support;unknown_value_please_contact_support
9;PB KnÑckebrîd AB;Lars Peterson;Assistant(e) des ventes;Kaloadagatan 13;Gîteborg;unknown_value_please_contact_support;S-345 67;Suäde;031-987 65 43;031-987 65 91;unknown_value_please_contact_support
10;Refrescos Americanas LTDA;Carlos Diaz;Directeur du marketing;Av. das Americanas 12.890;S∆o Paulo;unknown_value_please_contact_support;5442;BrÇsil;(11) 555 4640;unknown_value_please_contact_support;unknown_value_please_contact_support
11;Heli SÅ·waren GmbH & Co. KG;Petra Winkler;Chef des ventes;Tiergartenstra·e 5;Berlin;unknown_value_please_contact_support;10785;Allemagne;(010) 9984510;unknown_value_please_contact_support;unknown_value_please_contact_support
12;Plutzer Lebensmittelgro·mÑrkte AG;Martin Bein;Directeur du marketing international;Bogenallee 51;Frankfurt;unknown_value_please_contact_support;60439;Allemagne;(069) 992755;unknown_value_please_contact_support;Plutzer (sur le World Wide Web)#http://www.microsoft.com/accessdev/sampleapps/plutzer.htm#
13;Nord-Ost-Fisch Handelsgesellschaft mbH;Sven Petersen;Responsable export;Frahmredder 112a;Cuxhaven;unknown_value_please_contact_support;27478;Allemagne;(04721) 8713;(04721) 8714;unknown_value_please_contact_support
14;Formaggi Fortini s.r.l.;Elio Rossi;ReprÇsentant(e);Viale Dante, 75;Ravenna;unknown_value_please_contact_support;48100;Italie;(0544) 60323;(0544) 60603;Formaggi.htm#FORMAGGI.HTM#
15;Norske Meierier;Beate Vileid;Directeur du marketing;Hatlevegen 5;Sandvika;unknown_value_please_contact_support;1320;Norväge;(0)2-953010;unknown_value_please_contact_support;unknown_value_please_contact_support
16;Bigfoot Breweries;Cheryl Saylor;Responsable de zone;3400 - 8th Avenue  Suite 210;Bend;OR;97101;Etats-Unis;(503) 555-9931;unknown_value_please_contact_support;unknown_value_please_contact_support
17;Svensk Sjîfîda AB;Michael Bjîrn;ReprÇsentant(e);BrovallavÑgen 231;Stockholm;unknown_value_please_contact_support;S-123 45;Suäde;08-123 45 67;unknown_value_please_contact_support;unknown_value_please_contact_support
